modelo,combustivel,cor,ano,km,valor
MITSUBISHI PAJERO TR4 FL 2WD HP 2013,FLEX,BRANCO,2013,110.086,"R$57.900,00"
HONDA FIT LX 1.4 AUT 2013,FLEX,CINZA,2013,133.935,"R$51.900,00"
KIA SPORTAGE LX2 OFFG4 2.0 2013,FLEX,PRETO,2013,148.175,"R$68.900,00"
CHEVROLET ONIX 1.0 MT LT 2013,FLEX,PRETO,2013,150.000,"R$39.900,00"
TOYOTA ETIOS SEDAN XLS 1.5 2013,FLEX,PRETO,2013,134.733,"R$45.900,00"
FORD FIESTA 1.6 SE SEDAN 16V FLEX 4P MANUAL 2013,FLEX,PRETO,2013,157.000,"R$32.900,00"
HONDA CIVIC 1.8 LXS 16V FLEX 4P MANUAL 2013,FLEX,PRETO,2013,130.900,"R$65.900,00"
VOLKSWAGEN JETTA 2.0 2013,FLEX,CINZA,2013,137.000,"R$67.900,00"
MERCEDES-BENZ A 200 1.6 TURBO STYLE 2013,GASOLINA,PRATA,2013,114.129,"R$78.900,00"
PEUGEOT 207 HB XR 2013,FLEX,PRATA,2013,160.000,"R$24.900,00"
BMW 320I 3B11 2013,GASOLINA,BRANCO,2013,167.288,"R$99.900,00"
FIAT PALIO WEEKEND ADVENTURE 1.8 16V DUALOGIC 2013,FLEX,VERDE,2013,137.713,"R$44.900,00"
VOLKSWAGEN FOX BLUEMOTION 1.6 MI TOTAL FLEX 3P 2013,FLEX,BRANCO,2013,116.508,"R$37.900,00"
VOLKSWAGEN SAVEIRO 1.6 CE 2013,FLEX,BRANCO,2013,216.820,"R$47.900,00"
FORD RANGER LTD CD4 32 2013,DIESEL,PRATA,2013,300.493,"R$139.900,00"
BMW 118IA 1.6 16V TB 170CV 5P 2013,GASOLINA,VERMELHO,2013,139.474,"R$87.900,00"
FORD KA CLASS 1.0 FLEX. MEC. 2013,FLEX,PRATA,2013,165.130,"R$27.990,00"
FIAT STRADA WORKING 1.4 MPI FIRE FLEX 8V CD 2013,FLEX,VERMELHO,2013,156.036,"R$55.990,00"
HONDA FIT EX 1.5 16V FLEX AUT. 2013,FLEX,PRATA,2013,120.263,"R$54.990,00"
VOLKSWAGEN JETTA HIGHLINE 2.0 TSI 16V 4P TIPTRONIC 2013,GASOLINA,PRETO,2013,130.657,"R$67.990,00"
TOYOTA HILUX SW4 3.0 SRV 4X4 7 LUGARES 16V TURBO INTERCOOLER DIESEL 4P AUT 2013,DIESEL,BRANCO,2013,86.854,"R$189.990,00"
FIAT DOBLO ADVENTURE 1.8 FLEX 2013,FLEX,CINZA,2013,210.261,"R$55.990,00"
HYUNDAI HB20 1.0M 1.0 2013,FLEX,PRETO,2013,116,"R$42.990,00"
LIFAN X60 1.8L VVT 2013,GASOLINA,VERMELHO,2013,138,"R$34.990,00"
CITROEN C3 AIRCROSS EXCA 2013,FLEX,MARROM,2013,175,"R$41.990,00"
NISSAN FRONTIER XE 4X2 2.5 2013,DIESEL,PRETO,2013,0,"R$84.990,00"
FIAT PALIO WEEKEND ADVENTURE 1.8 16V DUALOGIC 2013,FLEX,VERDE,2013,1,"R$39.900,00"
VOLKSWAGEN POLO 1.6 SPORTLINE 2013,FLEX,PRETO,2013,0,"R$45.990,00"
CHEVROLET S10 PICK-UP LT 2.8 TDI 4X4 CD DIESEL 2013,DIESEL,CINZA,2013,138.755,"R$129.990,00"
CHEVROLET S10 LTZ DD4A 2013,DIESEL,BRANCO,2013,170.000,"R$132.990,00"
NISSAN FRONTIER XE (C.DUP) 4X2 2.5 TDI 2013,DIESEL,VERDE,2013,168.000,"R$99.990,00"
FORD FIESTA 1.0 8V FLEX 5P 2013,FLEX,VERMELHO,2013,0,"R$27.990,00"
VOLKSWAGEN GOL 1.0 2013,FLEX,PRETO,2013,84.374,"R$33.900,00"
CHEVROLET MONTANA SPORT 1.4 2013,FLEX,PRATA,2013,86.285,"R$45.800,00"
PEUGEOT 308 FELINE 2.0 2013,FLEX,BRANCO,2013,142.200,"R$41.900,00"
TROLLER TROLLER T4 3.2 XLT 4X4 20V TURBO INTERCOOLER DIESEL 2P MANUAL 2013,DIESEL,PRETO,2013,66.028,"R$109.990,00"
NISSAN FRONTIER SL 2.5 4X4 2013,DIESEL,PRATA,2013,260.258,"R$109.900,00"
NISSAN VERSA 16SV FLEX 2013,FLEX,PRATA,2013,213.304,"R$42.900,00"
FIAT PALIO ATTRACTIVE 1.4 8V 2013,FLEX,CINZA,2013,144.223,R$Consulte
FORD FIESTA 1.0 ROCAM SE 8V FLEX 4P MANUAL 2013,FLEX,PRATA,2013,150.000,R$Consulte
NISSAN MARCH 1.0 S 12V FLEX 4P MANUAL 2013,FLEX,PRETO,2013,150.123,"R$37.900,00"
FIAT STRADA WORKING 2013,FLEX,BRANCO,2013,196.611,"R$43.900,00"
VOLKSWAGEN GOLF 1.6 SPORTLINE 2013,FLEX,BRANCO,2013,129.275,"R$63.900,00"
CHEVROLET CRUZE LT 1.8 ECOTEC 16V FLEXMANUAL 2013,FLEX,PRATA,2013,78.900,"R$54.900,00"
NISSAN SENTRA 2.0 SL FLEX 2013,FLEX,PRETO,2013,119.640,"R$44.900,00"
FIAT PALIO WEEKEND ADVENTURE 1.8 16V DUALOGIC 2013,FLEX,VERDE,2013,132.700,"R$41.900,00"
VOLKSWAGEN GOL 1.0 G5 4P 2013,FLEX,VERMELHO,2013,199.200,"R$33.900,00"
NISSAN VERSA 1.6 16V FLEX SL 4P MANUAL 2013,FLEX,PRATA,2013,190.000,"R$47.990,00"
MITSUBISHI L-200 TRITON GLX 3.2 4X4 CD 2013,DIESEL,BRANCO,2013,205.000,"R$115.990,00"
HONDA CITY SEDAN LX-AT 1.5 16V FLEX 4P 2013,FLEX,CINZA,2013,112.000,"R$55.990,00"
RENAULT KANGOO EXPRESSION 1.6 16V(HI-FLEX) 2013,FLEX,BRANCO,2013,127.000,"R$43.990,00"
CHEVROLET S-10 LT 2.8 TDI 4X4 CD 2013,DIESEL,BEGE,2013,163.000,"R$129.990,00"
CHEVROLET S-10 LT 2.8 TDI 4X4 CD 2013,DIESEL,BRANCO,2013,170.000,"R$139.990,00"
CHEVROLET S-10 LT 2.8 TDI 4X4 CD 2013,DIESEL,BRANCO,2013,169.000,"R$119.990,00"
FORD FIESTA SEDAN1.6FLEX 2013,FLEX,PRATA,2013,142.000,"R$34.990,00"
MITSUBISHI PAJERO DAKAR 4X4 AUTOMATICO 7 LUGARES DIESEL 2013,DIESEL,PRETO,2013,200.000,"R$139.990,00"
KIA OPTIMA EX 2.4 AT 2013,GASOLINA,PRATA,2013,77.000,"R$68.990,00"
BMW 118I 1.6 AUT 2013,GASOLINA,LARANJA,2013,138.000,"R$84.990,00"
CHEVROLET COBALT 1.8 LTZ 2013,FLEX,PRATA,2013,207.000,"R$46.990,00"
CHEVROLET S-10 LT 2.8 TDI 4X2 CD 2013,DIESEL,BRANCO,2013,189.000,"R$119.990,00"
CHEVROLET ONIX 1.0MT LT 2013,FLEX,BRANCO,2013,263.000,"R$44.990,00"
VOLKSWAGEN FUSCA 2.0 TSI AUT. 2013,GASOLINA,BRANCO,2013,125.000,"R$99.990,00"
FORD FUSION 2.5 16V 175CV AUT 2013,FLEX,PRATA,2013,171.000,"R$69.990,00"
CHEVROLET S10 PICK UP LT 2.8 TDI 4X4 CD AUT DIESEL 2013,DIESEL,BRANCO,2013,215.000,"R$129.990,00"
MITSUBISHI PAJERO DAKAR 4X4 AUTOMATICO 7 LUGARES DIESEL 2013,DIESEL,PRATA,2013,244.000,"R$139.990,00"
VOLKSWAGEN NOVO VOYAGE 1.0 2013,FLEX,PRATA,2013,227.000,"R$37.990,00"
CHEVROLET AGILE LTZ 1.4 MPFI 8V ECONO.FLEX MEC. 2013,FLEX,PRATA,2013,145.000,"R$35.990,00"
RENAULT SANDERO STEPWAY 1.6 16V HI-FLEX AUT. 2013,FLEX,AZUL,2013,141.000,"R$46.990,00"
FORD FOCUS 2L FC FLEX 2013,FLEX,PRETO,2013,113.032,"R$42.900,00"
HONDA FIT TWIST 2013,FLEX,CINZA,2013,160.446,"R$55.900,00"
FIAT PALIO 1.6 MPI SPORTING 16V FLEX 4P AUTOMATIZADO 2013,FLEX,BRANCO,2013,171.000,"R$43.900,00"
FORD KA FLEX 1.0 8V 2P 2013,FLEX,VERMELHO,2013,129.700,"R$22.900,00"
VOLKSWAGEN VOYAGE 1.0 2013,FLEX,PRETO,2013,137.000,"R$38.900,00"
RENAULT LOGAN AUT 1016V 2013,FLEX,PRATA,2013,226.570,"R$26.900,00"
VOLKSWAGEN FOX 1.6 GII 2013,FLEX,VERMELHO,2013,130.300,"R$40.900,00"
FIAT SIENA EL (N. SERIE) (CELEBRATION 8) 1.0 8V FLEX 4P 2013,FLEX,PRETO,2013,219.800,"R$31.900,00"
HYUNDAI TUCSON GLSB AUTOMÁTICO FLEX 2013,GASOLINA,PRATA,2013,124.100,"R$54.990,00"
HYUNDAI TUCSON 2.0 GLS FLEX 4P AUT 2013,GASOLINA,PRATA,2013,104.556,"R$46.900,00"
VOLKSWAGEN GOL 1.0 GIV 2013,FLEX,PRATA,2013,145.725,"R$28.990,00"
VOLKSWAGEN GOL 1.0 2013,FLEX,VERMELHO,2013,123.733,"R$29.990,00"
BMW M5 4.4 V8 TWIN POWER M XDRIVE STEPTRONIC 2013,GASOLINA,AZUL,2013,44.000,"R$252.990,00"
LAND ROVER LR DISCOVERY 4 HSE 2013,DIESEL,PRATA,2013,125.000,"R$135.990,00"
LAND ROVER DISCOVERY4 SE 3.0 4X4 TDV6/SDV6 DIE AUT 2013,DIESEL,PRATA,2013,203.075,"R$145.990,00"
TOYOTA HILUX CD4X4 SRV 2013,DIESEL,PRETO,2013,110.120,"R$157.990,00"
CHEVROLET CLASSIC LS 2013,FLEX,PRETO,2013,136.450,"R$28.990,00"
LAND ROVER LR RROVER SDV8 VOGUESE 2013,DIESEL,BRANCO,2013,57.453,"R$329.990,00"
VOLKSWAGEN GOL 1.0 2013,FLEX,BRANCO,2013,151.638,"R$32.990,00"
VOLKSWAGEN VOYAGE 1.0 2013,FLEX,BRANCO,2013,0,"R$34.990,00"
FIAT UNO EVO ATTRACTIVE 1.4 8V FLEX 4P 2013,FLEX,VERMELHO,2013,0,"R$33.000,00"
VOLKSWAGEN GOL 1.0 2013,FLEX,BRANCO,2013,0,"R$35.000,00"
CHEVROLET SPIN 1.8 2013,FLEX,PRETO,2013,128.056,"R$35.900,00"
FIAT GRAND SIENA ATTRAC. 1.4 2013,FLEX,BRANCO,2013,104.375,"R$38.900,00"
NISSAN FRONTIER SE ATTACK CD 4X4 2.5 TB DIESEL 2013,DIESEL,PRETO,2013,240.258,"R$86.900,00"
FORD FOCUS 2.0 L FC. 2013,FLEX,PRATA,2013,141.437,"R$38.900,00"
NISSAN FRONTIER XE 4X2 2.5 2013,DIESEL,BRANCO,2013,175.001,"R$79.900,00"
FIAT PALIO ATTRACTIVE 1.0 2013,FLEX,CINZA,2013,175.864,"R$34.900,00"
CHEVROLET ONIX 1.4 MT LT 2013,FLEX,BRANCO,2013,178.300,"R$40.990,00"
FIAT UNO SPORTING 1.4 2013,FLEX,BRANCO,2013,176.988,"R$35.990,00"
TROLLER T4 TDI 2013,DIESEL,BRANCO,2013,0,R$Consulte
NISSAN MARCH 10S FLEX 2013,FLEX,PRATA,2013,158.000,"R$33.900,00"
HYUNDAI TUCSON GLSB 2013,FLEX,PRATA,2013,152.812,"R$49.900,00"
FORD FIESTA 1.6 FLEX 2013,FLEX,BRANCO,2013,172.729,"R$32.990,00"
TOYOTA COROLLA GLI FLEX 2013,FLEX,PRETO,2013,169.586,"R$59.990,00"
FIAT UNO EVO SPORTING 1.4 2013,FLEX,BRANCO,2013,81.761,"R$38.990,00"
HONDA CR-V EXL FLEX 4WD 2013,FLEX,CINZA,2013,155.756,R$Consulte
FORD FIESTA FLEX 2013,FLEX,CINZA,2013,168.410,"R$29.990,00"
KIA SPORTAGE LX2 OFFG4 2013,FLEX,PRATA,2013,163.705,"R$67.990,00"
BMW Z4SDRIVE20I LL31 2013,GASOLINA,BRANCO,2013,93.499,"R$206.990,00"
VOLKSWAGEN POLO 1.6 2013,FLEX,BRANCO,2013,153.165,"R$41.990,00"
VOLKSWAGEN FOX 1.6 MI 8V FLEX 4P MANUAL 2013,GASOLINA,PRATA,2013,89.000,"R$47.900,00"
NISSAN LIVINA 1.8 SL X-GEAR 16V FLEX 4P AUTOMÁTICO 2013,GASOLINA,CINZA,2013,161.000,"R$38.900,00"
FIAT UNO 1.4 EVO SPORTING 8V FLEX 4P MANUAL 2013,GASOLINA,PRATA,2013,177.000,"R$40.900,00"
CHEVROLET CRUZE 1.8 LTZ SPORT6 16V FLEX 4P AUTOMÁTICO 2013,GASOLINA,BRANCO,2013,121.000,"R$64.990,00"
PORSCHE CAYENNE 3.6 4X4 V6 24V GASOLINA 4P TIPTRONIC 2013,GASOLINA,BRANCO,2013,95.000,"R$189.990,00"
NISSAN TIIDA 1.8 SL 16V FLEX 4P AUTOMÁTICO 2013,GASOLINA,PRATA,2013,142.000,"R$39.900,00"
CHEVROLET S10 2013,DIESEL,PRATA,2013,0,"R$112.990,00"
TOYOTA Hilux 2013,DIESEL,PRETO,2013,190.000,"R$148.990,00"
CHEVROLET S10 2013,DIESEL,PRATA,2013,235.980,"R$109.990,00"
VOLKSWAGEN POLO 1.6 2013,FLEX,PRATA,2013,130.000,"R$47.990,00"
FORD FIESTA 1.6 FLEX 2013,FLEX,PRETO,2013,157.622,"R$31.990,00"
KIA SOUL 1.6 2013,FLEX,BRANCO,2013,107.455,"R$49.990,00"
HYUNDAI AZERA 3.0 V6 2013,GASOLINA,PRATA,2013,107.185,"R$81.990,00"
LAND ROVER RANGE ROVER EVOQUE PRESTIGE 5D 2013,GASOLINA,VINHO,2013,139.775,"R$126.990,00"
HYUNDAI HB20 1.0 2013,FLEX,BRANCO,2013,127.926,"R$41.990,00"
NISSAN FRONTIER SE ATTACK CD 4X4 2.5 TB DIESEL 2013,DIESEL,PRETO,2013,155.446,"R$104.980,00"
FIAT IDEA ADVENTURE 1.8 2013,FLEX,PRATA,2013,184.260,"R$39.980,00"
HYUNDAI TUCSON GLS 4X2 2WD 2.0 MPFI 16V 143CV AUT. 2013,GASOLINA,PRATA,2013,126.806,"R$48.980,00"
NISSAN FRONTIER 2.5 SE ATTACK 4X4 CD TURBO ELETRONIC DIESEL 4P MANUAL 2013,DIESEL,PRETO,2013,155.446,"R$92.980,00"
MITSUBISHI PAJERO FULL 3.2 HPE 4X4 16V TURBO INTERCOOLER 2013,DIESEL,PRETO,2013,152.070,"R$144.990,00"
HYUNDAI HB20 1.6A PREM 2013,FLEX,AZUL,2013,166.316,"R$47.990,00"
HONDA CIVIC SEDAN EXS 1.8 FLEX 16V AUT. 4P 2013,FLEX,BRANCO,2013,196.984,"R$69.990,00"
TOYOTA COROLLA GLI 1.8 16V 4P AUT (FLEX) 2013,FLEX,BRANCO,2013,103.667,"R$64.990,00"
FORD KA 1.0 MPI 8V FLEX 2P MANUAL 2013,GASOLINA,BRANCO,2013,101.600,"R$26.900,00"
BMW 320i 2.0 16V TURBO GASOLINA 4P AUTOMÁTICO 2013,GASOLINA,BRANCO,2013,76.558,"R$94.900,00"
FORD Ranger XLT CD4X4 MT 3.2TD 2013,DIESEL,BRANCO,2013,250.000,"R$108.990,00"
AUDI A-1 SPORTBACK 1.4 TFSI 122CV 5P S-TRONIC 2013,GASOLINA,PRATA,2013,110.000,R$Consulte
FORD FIESTA 1.6 MPI CLASS SEDAN 8V FLEX 4P MANUAL 2013,FLEX,PRATA,2013,0,"R$31.900,00"
VOLKSWAGEN AMAROK 2.0 HIGHLINE 4X4 CD 16V TURBO INTERCOOLER DIESEL 4P AUT 2013,DIESEL,BRANCO,2013,219.000,"R$112.900,00"
FIAT BRAVO SPORTING 1.8 DUALOGIC FLEX 16V 5P 2013,FLEX,PRETO,2013,170.031,"R$41.900,00"
LAND ROVER FREELANDER 2 S 2.2 SD4 2013,DIESEL,PRETO,2013,160.802,"R$77.900,00"
PEUGEOT PEUGEOT 207 XR 1.4 2P 2013,FLEX,VERMELHO,2013,176.424,"R$21.900,00"
VOLKSWAGEN GOL 1.6 2013,FLEX,PRETO,2013,239.088,"R$32.990,00"
MITSUBISHI L200 TRITON 3.2 D 2013,DIESEL,BRANCO,2013,176.725,"R$116.900,00"
PEUGEOT 508 THP 2013,GASOLINA,BRANCO,2013,115.307,"R$55.990,00"
PEUGEOT 308 FELINE 2013,FLEX,PRETO,2013,196.883,"R$34.990,00"
MITSUBISHI ASX 2.0 4WD 2013,GASOLINA,BRANCO,2013,141.665,"R$62.990,00"
TOYOTA COROLLA XEI 2.0 FLEX 2013,FLEX,BEGE,2013,128.500,"R$65.990,00"
VOLKSWAGEN FOX 1.6 PRIME GII 2013,FLEX,CINZA,2013,92.180,"R$37.990,00"
CITROEN C3 90M TENDANCE 2013,FLEX,PRETO,2013,109.844,"R$35.990,00"
MITSUBISHI PAJERO DAKAR D 2013,DIESEL,PRATA,2013,229.260,"R$121.990,00"
HONDA FIT EX FLEX 2013,FLEX,PRATA,2013,146.854,"R$49.990,00"
FIAT DOBLO ADV 1.8 FLEX 2013,FLEX,PRATA,2013,272.719,"R$50.900,00"
FORD FORD FOCUS 2L FC FLEX 2013,FLEX,BRANCO,2013,151.000,"R$39.900,00"
CITROEN C3 90M ORIGINE 2013,FLEX,PRATA,2013,114.306,"R$30.900,00"
VOLKSWAGEN GOL 1.0 GIV 2013,FLEX,BRANCO,2013,144.000,"R$23.900,00"
CHEVROLET ONIX 1.0MT LT 2013,FLEX,BRANCO,2013,150.662,"R$38.900,00"
DODGE JOURNEY R T 2013,FLEX,BRANCO,2013,100.373,"R$69.900,00"
VOLKSWAGEN FOX 1.6 GII 2013,FLEX,PRATA,2013,163.552,"R$38.900,00"
HONDA FIT LX FLEX 2013,FLEX,PRETO,2013,67.281,"R$51.900,00"
NISSAN FRONTIER SE 4X4ATT 2013,DIESEL,PRETO,2013,239.701,"R$89.900,00"
FIAT SIENA EL 1.0 FLEX 2013,FLEX,BRANCO,2013,113.272,"R$36.900,00"
TOYOTA HILUX CD4X4 SRV 2013,DIESEL,PRETO,2013,208.758,"R$143.900,00"
FIAT UNO WAY 1.4 2013,FLEX,VERMELHO,2013,120.162,"R$36.900,00"
NISSAN LIVINA XGEAR 18SL 2013,FLEX,PRATA,2013,115.024,"R$39.900,00"
FIAT UNO MILLE 2 PTS ECONOMY 2013,FLEX,VERMELHO,2013,163.508,"R$23.900,00"
SUZUKI GRAND VITARA 2013,GASOLINA,PRATA,2013,158.608,"R$54.900,00"
NISSAN FRONTIER SE 4X4 ATT 2013,DIESEL,PRETO,2013,140.165,"R$99.990,00"
VOLKSWAGEN JETTA 2.0 2013,FLEX,PRETO,2013,92.624,"R$59.990,00"
HONDA FIT TWIST 1.5 FLEX AUT 2013,FLEX,PRATA,2013,105.859,"R$52.990,00"
NISSAN MARCH S 1.0 16V FLEX MEC. 2013,FLEX,BRANCO,2013,119.000,"R$33.900,00"
HONDA FIT 1.4 LX 16V FLEX 4P MANUAL 2013,FLEX,PRATA,2013,0,"R$44.900,00"
CHEVROLET S10 LTZ 2.8 TURBO DIESEL 4X4 CD AUT 2013,DIESEL,PRATA,2013,193.200,"R$128.900,00"
HONDA CIVIC SEDAN LXS 1.8 16V AUT. 2013,FLEX,PRATA,2013,205.000,"R$62.900,00"
NISSAN FRONTIER SE ATTACK CD 4X2 2.5 TB DIESEL 2013,DIESEL,VERDE,2013,105.265,"R$88.900,00"
HONDA FIT EX 1.5 16V FLEX AUT. 2013,FLEX,PRATA,2013,141.830,"R$53.900,00"
CHEVROLET S10 2.4 LS 4X2 CD 8V FLEX 4P MANUAL 2013,GASOLINA,PRATA,2013,0,"R$79.900,00"
TOYOTA HILUX SW4 3.0 SRV 4X4 16V TURBO INTERCOOLER DIESEL 4P AUTOMÁTICO 2013,DIESEL,BRANCO,2013,0,"R$169.900,00"
FORD RANGER 2.5 XLS 4X2 CD 16V FLEX 4P MANUAL 2013,GASOLINA,PRATA,2013,0,"R$87.900,00"
TOYOTA HILUX SW4 SRV 4X4 2013,DIESEL,BRANCO,2013,170.000,"R$164.900,00"
LAND ROVER LR DISCOVERY 4 S 2013,DIESEL,PRETO,2013,110.250,"R$122.890,00"
AUDI A3 1.8TFSI 2013,GASOLINA,BRANCO,2013,149.000,"R$89.890,00"
MERCEDES-BENZ C180TURBO 2013,GASOLINA,PRATA,2013,90.200,"R$77.890,00"
HONDA CIVIC LXL 2013,FLEX,PRETO,2013,163.000,"R$64.890,00"
LAND ROVER LR R.ROVER SPORT SE 2013,DIESEL,BRANCO,2013,60.000,"R$180.890,00"
LAND ROVER LR DISCOVERY 4 HSE 2013,DIESEL,VERDE,2013,116.490,"R$145.900,00"
FORD FIESTA SEDAN 1.0 8V FLEX 4P 2013,FLEX,PRATA,2013,140.800,"R$34.900,00"
LAND ROVER EVOQUE DYNAMIQUE 2.0 16V 4WD GASOLINA 2013,GASOLINA,PRETO,2013,89.000,"R$119.000,00"
AUDI AUDI Q3 2.0 TFSI AMBIENTE QUAT. 170CV S-TRONIC 2013,GASOLINA,BRANCO,2013,137.000,"R$87.000,00"
LAND ROVER LR EVOQUE DYNAMIC 5D 2013,GASOLINA,BRANCO,2013,105.000,"R$138.000,00"
LAND ROVER EVOQUE DYNAMIQUE 2.0 16V 4WD GASOLINA 2013,GASOLINA,BRANCO,2013,119.000,"R$129.000,00"
MITSUBISHI PAJERO DAKAR 4X4-AT 3.2 TB-IC DIES. (IMP) 4P 2013,DIESEL,PRATA,2013,344.000,"R$133.500,00"
FORD RANGER XLT CD4 32 2013,DIESEL,BRANCO,2013,190.000,"R$110.000,00"
AUDI A4 2.0 180CV TFSI ATTRACTION MULTITRONIC 2013,GASOLINA,BRANCO,2013,96.000,"R$74.000,00"
LAND ROVER LR EVOQUE DYNAMIC 5D 2013,GASOLINA,PRETO,2013,103.000,"R$122.000,00"
AUDI Q3 2.0 TFSI S TRONIC QUATTRO AMBIENTE 170CV 4P 2013,GASOLINA,PRETO,2013,163.000,"R$82.000,00"
FIAT SIENA 1.6 MPI ESSENCE 16V FLEX 4P AUT 2013,FLEX,BRANCO,2013,123.000,"R$38.000,00"
LAND ROVER RANGE ROVER EVOQUE PRESTIGE 2.0 AUT 5P 2013,GASOLINA,PRETO,2013,120.000,"R$110.000,00"
PORSCHE CAYENNE V6 3.6 4X4 2013,GASOLINA,CINZA,2013,91.000,"R$183.000,00"
KIA SPORTAGE LX2 OFFG4 2013,FLEX,PRETO,2013,127.576,"R$73.990,00"
FORD RANGER XL CD4 22 4X4 2013,DIESEL,PRATA,2013,126.732,"R$95.990,00"
MITSUBISHI L200 TRITON 3.2 D 2013,DIESEL,BRANCO,2013,261.125,"R$139.990,00"
HYUNDAI TUCSON GLSB 2013,FLEX,PRETO,2013,111.869,"R$49.990,00"
CITROEN C3 90M TENDANCE 2013,FLEX,VERMELHO,2013,149.535,"R$35.990,00"
HONDA FIT TWIST AUTOMÃTICO 2013,FLEX,PRATA,2013,134.789,"R$58.990,00"
RENAULT SANDERO STEPWAY 1.6 AUTOMÃTICO 2013,FLEX,PRATA,2013,124.000,"R$43.990,00"
FIAT UNO MILLE WAY ECONOMI 2013,FLEX,AZUL,2013,107.300,"R$29.990,00"
CHEVROLET CRUZE LT AUTOMATICO 2013,FLEX,BRANCO,2013,128.000,"R$59.990,00"
VOLKSWAGEN SAVEIRO CE CROSS 2013,FLEX,PRETO,2013,189.000,"R$58.990,00"
NISSAN MARCH S 2013,FLEX,PRETO,2013,100,"R$36.990,00"
CHEVROLET TRAILBLAZER LTZ DIESEL AUTOMÃTICA 2013,DIESEL,CINZA,2013,170.800,"R$144.990,00"
HONDA FIT LX 2013,FLEX,CINZA,2013,112.820,"R$53.990,00"
FORD FIESTA 1.6 FLEX 2013,FLEX,PRATA,2013,151.000,"R$39.990,00"
FORD FUSION AWD GTDI 2013,GASOLINA,BRANCO,2013,150.000,"R$75.990,00"
CHEVROLET ONIX 1.4MT LT 2013,FLEX,PRETO,2013,100,"R$45.990,00"
FIAT STRADA WORKING 2013,FLEX,BRANCO,2013,100,R$Consulte
CHEVROLET COBALT  LT AUTOMÃTICO 2013,FLEX,CINZA,2013,120.393,"R$45.990,00"
CITROEN CITROEN C3 EXCLUSIVE AUTOMÃTICO 2013,FLEX,PRATA,2013,100,"R$39.990,00"
FORD FOCUS 2L FC FLEX 2013,FLEX,PRETO,2013,280.852,"R$39.900,00"
CHEVROLET CELTA 1.0L LT 2013,FLEX,PRETO,2013,156.000,"R$32.900,00"
VOLKSWAGEN NOVO VOYAGE 1.6 2013,FLEX,BRANCO,2013,101.023,"R$38.900,00"
TOYOTA HILUX CD4X4 SRV 2013,DIESEL,BRANCO,2013,335.000,"R$159.900,00"
TOYOTA HILUX CD4X4 SRV 2013,DIESEL,PRATA,2013,269,"R$134.900,00"
VOLKSWAGEN SAVEIRO 1.6 MI CE 8V FLEX 2P MANUAL G.V 2013,GASOLINA,BRANCO,2013,240.000,"R$46.900,00"
BMW 320i 2.0 16V TURBO GASOLINA 4P AUTOMÁTICO 2013,GASOLINA,PRATA,2013,121.400,"R$97.900,00"
KIA SPORTAGE 2.0 EX 4X2 16V FLEX 4P AUTOMÁTICO 2013,GASOLINA,PRETO,2013,134.670,"R$79.900,00"
LAND ROVER I/ LR EVOQUE PRESTIGE P5D 2013,GASOLINA,BRANCO,2013,0,"R$129.990,00"
VOLKSWAGEN VW/ FOX 1.0 GII 2013,FLEX,BRANCO,2013,0,"R$37.990,00"
FIAT UNO EVO SPORTING (SPORT) 1.4 8V 2P FLEX 2013,FLEX,AMARELO,2013,0,"R$37.990,00"
HYUNDAI ELANTRA 1.8 GLS 16V GASOLINA 4P AUTOMÁTICO 2013,GASOLINA,PRATA,2013,172.000,"R$64.990,00"
TOYOTA HILUX CD4X4 SRV 2013,DIESEL,PRATA,2013,193.000,"R$143.900,00"
TOYOTA ETIOS SD XS 2013,FLEX,PRATA,2013,139.500,"R$43.900,00"
HYUNDAI HB20 1.6M PREM 2013,FLEX,PRATA,2013,137.332,"R$48.900,00"
VOLKSWAGEN FUSCA 2.0T 2013,GASOLINA,BRANCO,2013,69.566,"R$123.900,00"
FIAT IDEA ATTRACTIVE 1.4 2013,FLEX,PRATA,2013,181.000,"R$37.900,00"
FIAT FREEMONT PRECISIO 2013,GASOLINA,PRATA,2013,159.443,"R$61.900,00"
CITROEN C3 PICASSO EXC 2013,FLEX,BRANCO,2013,117.000,"R$39.900,00"
FIAT SIENA EL 1.0 2013,FLEX,PRETO,2013,117.352,"R$36.900,00"
RENAULT SANDERO EXP 1.0 2013,FLEX,PRETO,2013,225.954,"R$35.900,00"
FORD FIESTA SEDAN 1.6 8V FLEX 4P 2013,FLEX,PRETO,2013,109.345,"R$38.900,00"
CHEVROLET S10 2013,FLEX,PRATA,2013,157.660,"R$87.990,00"
FIAT Punto 2013,FLEX,VERMELHO,2013,191.048,"R$44.990,00"
FIAT Idea 2013,FLEX,BRANCO,2013,59.139,"R$40.990,00"
CHEVROLET CRUZE LT NB 2012,FLEX,PRATA,2012,150.608,"R$52.990,00"
FORD FIESTA SEDAN1.6FLEX 2012,FLEX,PRATA,2012,244.578,"R$32.990,00"
CITROEN C3 AIRCROSS GLXA 2012,FLEX,PRATA,2012,152.458,"R$36.990,00"
MINI COOPERSCYMAN ALL4 2012,GASOLINA,VERDE,2012,115.011,"R$99.900,00"
VOLKSWAGEN AMAROK CD 4X4 HIGH 2012,DIESEL,PRATA,2012,199.752,"R$109.900,00"
MERCEDES-BENZ C180 CGI 2012,GASOLINA,PRETO,2012,0,"R$69.900,00"
